sample_id,family_id,label,subtype,scenario,behavior_mode,observation_profile,frame_count,simulator_version,feature_version,requested_depth_mode,fps,seed,split,attempted_missing_fraction,camera_residual_enabled,tracking_drift_enabled,feature_status,feature_config_id,rejection_reason,speed_median,speed_cv,acceleration_median,acceleration_p95,turn_rate_median,turn_rate_p95,curvature_cv,tortuosity,heading_change_ratio,observed_points,duration_seconds,nominal_fps,clock,missing_fraction,longest_missing_seconds,long_gap_count,mean_conf,boundary_fraction,usable_segments,retained_points,heading_valid_fraction,retained_duration_seconds,training_length_group
20260906:sudden_dash:53:bird:pigeon:noisy,20260906:sudden_dash:53,bird,pigeon,sudden_dash,foraging_zigzag,noisy,367,4.0.0,4.0.0,crossing,30.0,20260906,train,0.888283378746594,True,True,accepted,231df697e717ad91,,143.74336946119968,0.046773708284750956,22.882170482837147,70.50319065704588,0.33623537406953796,0.663948883453147,0.6133267666967799,1.0067210024594517,0.26829268292682923,41.0,1.4,30.0,timestamp_ms,0.046511627906976716,0.033666666666666616,0.0,0.7985299175607973,0.0,1.0,41.0,1.0,1.4,short
20260906:baseline:159:drone:hover_quad:ideal,20260906:baseline:159,drone,hover_quad,baseline,cruise,ideal,145,4.0.0,4.0.0,crossing,30.0,20260906,train,0.0,False,False,accepted,231df697e717ad91,,82.77584134099283,0.03624733789547318,2.288725035746068,11.212468119915386,0.01315637470491011,0.043016308971063566,0.8456686812138345,1.0000354895585586,0.0,145.0,4.8,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,145.0,1.0,4.8,standard
20260906:sudden_dash:81:drone:racing_quad:noisy,20260906:sudden_dash:81,drone,racing_quad,sudden_dash,cruise,noisy,184,4.0.0,4.0.0,crossing,30.0,20260906,train,0.2282608695652174,False,False,accepted,231df697e717ad91,,221.87735960892584,0.09621721424976942,36.31681355939731,108.6832431630012,0.18544079939784883,0.5712484336625275,0.796944459728222,1.0006397319194398,0.07692307692307694,142.0,5.233,30.001910949742022,timestamp_ms,0.10126582278481011,0.03366878980891737,0.0,0.5705092912487995,0.0,1.0,142.0,1.0,5.233,standard
20260906:multi_mode:191:bird:falcon:ideal,20260906:multi_mode:191,bird,falcon,multi_mode,sudden_escape,ideal,333,4.0.0,4.0.0,crossing,30.0,20260906,train,0.6516516516516517,False,False,accepted,231df697e717ad91,,171.65791900371667,0.010905152665667318,3.8261363449984027,12.011302159594337,0.005803804853521029,0.017006385201296718,0.8314542068091134,1.0000116988936252,0.0,116.0,3.833,30.002608922514998,timestamp_ms,0.0,0.0006695652173915531,0.0,1.0,0.0,1.0,116.0,1.0,3.833,standard
20260906:baseline:248:bird:pigeon:noisy,20260906:baseline:248,bird,pigeon,baseline,glide,noisy,107,4.0.0,4.0.0,approaching,30.0,20260906,train,0.01869158878504673,False,True,accepted,231df697e717ad91,,87.76209208456662,0.173961411883612,31.882301606403132,92.07747653895504,0.3588029777885635,0.756265991689924,0.7247753260813433,1.012908736832747,0.22857142857142856,105.0,3.533,30.002830455703368,timestamp_ms,0.01869158878504673,0.03266981132075478,0.0,0.9240083546330718,0.0,1.0,105.0,1.0,3.533,standard
20260906:multi_mode:115:bird:falcon:ideal,20260906:multi_mode:115,bird,falcon,multi_mode,foraging_zigzag,ideal,92,4.0.0,4.0.0,approaching,30.0,20260906,train,0.0,False,False,accepted,231df697e717ad91,,87.97850623296016,0.21235938897272205,20.326616431408834,37.10118188963274,0.19068287985888197,0.5592487352687693,0.8106779086860948,1.0079734775324694,0.06666666666666667,92.0,3.033,30.003297065611605,timestamp_ms,0.0,0.0006703296703299208,0.0,1.0,0.0,1.0,92.0,1.0,3.033,standard
20260906:multi_mode:290:drone:consumer_quad:noisy,20260906:multi_mode:290,drone,consumer_quad,multi_mode,cruise,noisy,126,4.0.0,4.0.0,crossing,30.0,20260906,train,0.1507936507936508,True,False,accepted,231df697e717ad91,,45.88379280207847,0.5904066729046872,30.87052077549284,90.7894913825817,0.7409795679304875,9.788825726500013,2.3678738580061376,6.84978622482122,0.6454545454545457,107.0,4.167,29.997600191984642,timestamp_ms,0.1507936507936508,0.39966399999999985,1.0,0.7882009503123023,0.0,2.0,107.0,1.0,3.734,standard
20260906:multi_mode:272:bird:falcon:ideal,20260906:multi_mode:272,bird,falcon,multi_mode,foraging_zigzag,ideal,301,4.0.0,4.0.0,passing_by,30.0,20260906,train,0.4119601328903655,False,False,accepted,231df697e717ad91,,138.1292198743313,0.10917576777514845,9.462119138902056,20.741542619131103,0.1303542931409203,0.2981175744849819,0.5377120469944284,1.034281810825041,0.0,177.0,5.867,29.998295551389123,timestamp_ms,0.0,0.000664772727273423,0.0,1.0,0.0,1.0,177.0,1.0,5.867,standard
20260906:multi_mode:87:bird:seagull:noisy,20260906:multi_mode:87,bird,seagull,multi_mode,sudden_escape,noisy,116,4.0.0,4.0.0,crossing,30.0,20260906,train,0.051724137931034475,False,True,accepted,231df697e717ad91,,152.46042724873826,0.05431370615906529,33.756762409817675,99.74380767454986,0.2052398293047277,0.4856326596826971,0.709933175321005,1.0115627560837392,0.043859649122807015,110.0,3.833,30.002608922514998,timestamp_ms,0.051724137931034475,0.06666956521739129,0.0,0.7826716656959842,0.0,1.0,110.0,1.0,3.833,standard
20260906:sharp_turns:186:bird:falcon:noisy,20260906:sharp_turns:186,bird,falcon,sharp_turns,flap_jitter,noisy,172,4.0.0,4.0.0,receding,30.0,20260906,train,0.08720930232558144,False,False,accepted,231df697e717ad91,,120.07081843047136,0.19976327370923755,23.13873534435825,74.59390377740459,0.3712237329540742,1.1071097347040548,0.8763998055200076,1.1601052873671407,0.311764705882353,157.0,5.7,30.0,timestamp_ms,0.08720930232558144,0.1336666666666665,0.0,0.7857756646524803,0.0,1.0,157.0,1.0,5.7,standard
